,skew_after
calculated_host_listings_count_shared_rooms,19.022687974818513
number_of_reviews_l30d,1.937350719351667
bathrooms,1.3819824346582819
bedrooms,1.0442090889834283
minimum_minimum_nights,0.9960762762463152
reviews_per_month,0.9304609328574936
calculated_host_listings_count_private_rooms,0.9295149147823346
number_of_reviews_ly,0.8811103150848516
host_id,0.77640780105065
availability_30,0.7593340648195464
calculated_host_listings_count,0.7492193482989435
maximum_nights,0.7411586473755126
accommodates,0.733313572757335
host_listings_count,0.7227207656873993
beds,0.7200749019603159
calculated_host_listings_count_entire_homes,0.645829898526852
minimum_nights,0.621517823929275
number_of_reviews_ltm,0.6098393006272064
host_total_listings_count,0.5840285926446872
maximum_minimum_nights,0.529217117376183
minimum_nights_avg_ntm,0.47346296169817376
availability_60,0.4406307112141998
minimum_maximum_nights,0.35743492418659434
availability_365,0.34919564857901986
maximum_nights_avg_ntm,0.317098215089433
availability_90,0.28905285213856635
maximum_maximum_nights,0.284411767794034
estimated_occupancy_l365d,0.27684968778169244
availability_eoy,0.26695425341992285
number_of_reviews,0.10889648165924083
longitude,0.0014326880377599177
scrape_id,0.0
price,-0.17042979485730653
latitude,-0.18879458340736763
estimated_revenue_l365d,-1.1671183429478529
review_scores_value,-1.3826325271709872
review_scores_location,-1.5742501036599144
review_scores_accuracy,-1.5982481989790214
review_scores_rating,-1.6112733925027356
review_scores_cleanliness,-1.6669025142618148
review_scores_checkin,-1.6678710667694014
review_scores_communication,-1.6822541408698608
